pref,title,lat,lon
三重県,尾鷲,0.0,0.0
三重県,津,34.7303,136.5086
京都府,京都,35.0116,135.7681
京都府,舞鶴,0.0,0.0
佐賀県,伊万里,0.0,0.0
佐賀県,佐賀,33.2494,130.2988
兵庫県,神戸,34.6901,135.1956
兵庫県,豊岡,0.0,0.0
千葉県,千葉,35.6074,140.1065
千葉県,銚子,0.0,0.0
千葉県,館山,0.0,0.0
和歌山県,和歌山,34.2261,135.1675
和歌山県,潮岬,0.0,0.0
埼玉県,さいたま,35.8617,139.6455
埼玉県,熊谷,0.0,0.0
埼玉県,秩父,0.0,0.0
大分県,中津,0.0,0.0
大分県,佐伯,0.0,0.0
大分県,大分,33.2382,131.6126
大分県,日田,0.0,0.0
大阪府,大阪,34.6937,135.5023
奈良県,奈良,34.6851,135.8048
奈良県,風屋,0.0,0.0
宮城県,仙台,38.2682,140.8694
宮城県,白石,0.0,0.0
宮崎県,宮崎,31.9077,131.4202
宮崎県,延岡,0.0,0.0
宮崎県,都城,0.0,0.0
宮崎県,高千穂,0.0,0.0
富山県,伏木,0.0,0.0
富山県,富山,36.6953,137.2113
山口県,下関,0.0,0.0
山口県,山口,34.1858,131.4706
山口県,柳井,0.0,0.0
山口県,萩,0.0,0.0
山形県,山形,38.2404,140.3633
山形県,新庄,0.0,0.0
山形県,米沢,0.0,0.0
山形県,酒田,0.0,0.0
山梨県,河口湖,0.0,0.0
山梨県,甲府,35.6636,138.5683
岐阜県,岐阜,35.3912,136.7223
岐阜県,高山,0.0,0.0
岡山県,岡山,34.6618,133.935
岡山県,津山,0.0,0.0
岩手県,大船渡,0.0,0.0
岩手県,宮古,0.0,0.0
岩手県,盛岡,39.7036,141.1527
島根県,松江,35.4723,133.0506
島根県,浜田,0.0,0.0
島根県,西郷,0.0,0.0
広島県,広島,34.3853,132.4553
広島県,庄原,0.0,0.0
徳島県,徳島,34.0658,134.5593
徳島県,日和佐,0.0,0.0
愛媛県,宇和島,0.0,0.0
愛媛県,新居浜,0.0,0.0
愛媛県,松山,33.8416,132.7654
愛知県,名古屋,35.1815,136.9066
愛知県,豊橋,0.0,0.0
新潟県,新潟,37.9161,139.0364
新潟県,相川,0.0,0.0
新潟県,長岡,0.0,0.0
新潟県,高田,0.0,0.0
東京都,八丈島,0.0,0.0
東京都,大島,0.0,0.0
東京都,東京,35.6762,139.6503
東京都,父島,0.0,0.0
栃木県,大田原,0.0,0.0
栃木県,宇都宮,36.5658,139.8836
沖縄県,与那国島,0.0,0.0
沖縄県,久米島,0.0,0.0
沖縄県,南大東,0.0,0.0
沖縄県,名護,0.0,0.0
沖縄県,宮古島,0.0,0.0
沖縄県,石垣島,0.0,0.0
沖縄県,那覇,26.2124,127.6809
滋賀県,大津,35.0045,135.8686
滋賀県,彦根,0.0,0.0
熊本県,人吉,0.0,0.0
熊本県,熊本,32.7898,130.7417
熊本県,牛深,0.0,0.0
熊本県,阿蘇乙姫,0.0,0.0
石川県,輪島,0.0,0.0
石川県,金沢,36.5613,136.6562
神奈川県,小田原,0.0,0.0
神奈川県,横浜,35.4437,139.638
福井県,敦賀,0.0,0.0
福井県,福井,36.0652,136.2216
福岡県,久留米,0.0,0.0
福岡県,八幡,0.0,0.0
福岡県,福岡,33.5904,130.4017
福岡県,飯塚,0.0,0.0
福島県,小名浜,0.0,0.0
福島県,福島,37.75,140.4678
福島県,若松,0.0,0.0
秋田県,横手,0.0,0.0
秋田県,秋田,39.7186,140.1024
群馬県,みなかみ,0.0,0.0
群馬県,前橋,36.3911,139.0608
茨城県,土浦,0.0,0.0
茨城県,水戸,36.3414,140.4467
道北,旭川,43.7706,142.365
道北,留萌,0.0,0.0
道北,稚内,0.0,0.0
道南,函館,41.7688,140.7289
道南,室蘭,0.0,0.0
道南,江差,0.0,0.0
道南,浦河,0.0,0.0
道央,倶知安,0.0,0.0
道央,岩見沢,0.0,0.0
道央,札幌,43.0642,141.3469
道東,北見,0.0,0.0
道東,帯広,0.0,0.0
道東,根室,0.0,0.0
道東,紋別,0.0,0.0
道東,網走,0.0,0.0
道東,釧路,43.0031,144.3953
長崎県,佐世保,0.0,0.0
長崎県,厳原,0.0,0.0
長崎県,福江,0.0,0.0
長崎県,長崎,32.7448,129.8737
長野県,松本,0.0,0.0
長野県,長野,36.6513,138.181
長野県,飯田,0.0,0.0
青森県,むつ,0.0,0.0
青森県,八戸,0.0,0.0
青森県,青森,40.8244,140.7406
静岡県,三島,0.0,0.0
静岡県,浜松,34.7108,137.7262
静岡県,網代,0.0,0.0
静岡県,静岡,34.9769,138.3831
香川県,高松,34.3402,134.0433
高知県,室戸岬,0.0,0.0
高知県,清水,0.0,0.0
高知県,高知,33.5597,133.5311
鳥取県,米子,0.0,0.0
鳥取県,鳥取,35.5039,134.2377
鹿児島県,名瀬,0.0,0.0
鹿児島県,種子島,0.0,0.0
鹿児島県,鹿児島,31.5602,130.5581
鹿児島県,鹿屋,0.0,0.0
